citperOD_0,STD_0,citperOD_2,STD_2,citperOD_4,STD_4,citperOD_8,STD_8,citperOD_16,STD_16,citperOD_32,STD_32,citperOD_64,STD_64,citperOD_128,STD_128
72.12656987,5.058994864,270.2145237,19.24870903,478.1355237,245.0677847,679.9704335,392.5009213,628.5572749,225.9296783,514.6680401,202.1233627,586.2997239,31.08890491,558.8428646,114.5621528
58.46686763,4.120529874,298.3932594,36.35947782,540.4804316,308.6411631,792.951543,484.0790904,742.8970451,323.5735424,650.0488794,235.6932149,649.4252782,61.58395148,603.9415163,150.3576443
60.31614128,6.301651556,323.0412322,25.22564159,591.9528261,345.24877,942.3743386,571.3260494,953.518679,501.5018037,714.2857273,271.689979,759.4235074,55.32035961,729.2307625,236.8118684
59.77286284,4.925925906,340.248959,29.2708102,631.2028524,404.468243,1116.288502,705.5872532,986.2292439,452.9361636,811.5358784,292.5087116,850.2237242,42.80268878,755.6221938,149.4582777
60.55045852,8.796505172,393.2411626,12.94601842,758.3287279,494.5672588,1246.1715,797.4895395,1135.073796,554.4206259,879.7964849,355.5484489,979.8055111,38.37535193,818.679732,130.4410916
51.47177064,5.139884517,454.3524456,57.69538716,927.5751967,518.4514461,1456.643225,977.9127568,1274.185123,610.9051487,1029.411754,456.0687803,1076.995749,86.42257808,970.3947601,324.6755191
50.59265696,3.690727828,487.8380216,46.75526239,983.4031246,551.2518271,1694.290996,1151.861847,1423.001973,714.4657796,1088.141343,424.1278558,1207.63183,155.60116,1067.625125,373.5370049
57.34393366,2.592559314,500.6273395,50.71154169,1223.87199,516.6929117,1995.610567,1241.58116,1470.721038,568.658165,1318.663691,248.3424309,1212.81468,120.453568,1181.043172,407.6252784
53.50703769,2.062711258,578.4931187,84.04854462,1287.899146,406.8171215,2395.573981,1135.889649,1975.158616,703.2904385,1994.840941,381.8947358,1573.60405,136.0585313,1420.283104,661.8810088
52.00433493,3.638050793,585.0475638,70.14919798,1364.958912,341.9061215,2448.766466,992.4084645,1939.501787,254.1271375,2270.356972,565.1817521,1610.871123,323.6442064,1993.09752,1292.265235
54.61816074,2.21661292,596.4875802,41.54542026,1516.055031,194.1244383,2584.834087,1004.110647,1958.52266,341.4802092,2738.356411,677.5169157,2246.467785,480.7385492,2144.147772,1207.370225
55.80876173,1.178249277,637.0355959,78.34004636,1633.584565,439.4448526,2851.423417,728.480143,2356.03216,510.0209564,2923.405236,823.5254103,3499.147295,988.5942845,2792.2562,1340.82735
55.1486433,3.009735241,644.8026664,71.73559506,1627.344255,532.9406166,3143.426628,650.0110198,2473.277917,1080.0569,3543.015715,897.0397782,4364.907781,416.9285355,3041.450797,745.127581
60.27354981,1.435203923,571.9040031,57.03082358,1849.818609,267.6060008,3281.857167,726.9715159,2265.173072,667.8819255,3895.403864,820.7215793,4737.025309,1166.319086,3538.908652,675.9161137
59.77547724,4.218782778,518.1086453,62.66404409,1837.837862,316.1250337,3254.894713,764.9370287,2893.315257,1231.871051,4220.942854,506.6145919,5538.396448,1165.477602,4138.243311,1127.697799
65.5759881,4.890130815,554.5533029,66.21142128,1994.040487,224.1458738,3363.376383,680.3330086,2981.603834,1025.599021,3687.750089,367.21055,5543.953829,1040.54575,4505.586463,2112.057206
71.12917382,4.989271388,602.3570523,74.48301154,2193.953902,393.417774,3322.771984,631.8286935,3458.287374,1280.83561,3845.653921,1072.652605,5942.158535,1221.783748,5900.773022,2426.945756
75.76661351,1.234887174,579.6405539,62.93334594,2330.880287,543.6746048,3277.828465,1210.529756,4029.029439,1591.320386,4169.145093,1392.093651,7294.922729,469.9431895,6408.872968,2218.701819
76.76443695,4.191127991,613.9844696,54.35286777,2439.665883,518.7832696,2975.266099,2165.955177,4179.028863,1394.722929,4529.172995,1648.484334,8181.108978,1496.199724,7474.001898,1783.072232
80.71943229,2.969594707,666.3882463,52.24083941,2647.294214,616.1841356,3277.967361,2256.66048,4611.767526,2174.747961,4699.492628,1402.306518,7769.036371,1414.538919,8079.565393,2314.787809
