Cycle Nr.,CitperOD_0,STD_0,CitperOD_3.9,STD_3.9,CitperOD_7.8,STD_7.8,CitperOD_15.6,STD_15.6,CitperOD_31.3,STD_31.3,CitperOD_62.5,STD_62.5,CitperOD_125,STD_125,CitperOD_250,STD_250
20,4612.172753,599.1659734,4467.353947,1667.986996,4516.632052,442.3528696,2792.233087,592.3245576,1679.548788,457.0489905,1173.276709,215.2222794,651.9102441,120.9936727,655.1840637,259.1729949
21,4917.847024,916.4305464,5079.451049,1920.81166,5096.825435,374.0897592,3345.764546,617.4019396,2025.362315,255.6338077,1356.518179,201.8785257,750.1426196,179.6725535,727.2727399,363.1544191
22,6000.523665,1061.48429,5368.839358,1586.435145,5461.390887,524.4467444,3742.451442,616.0134529,1901.049948,276.3218712,1661.496031,197.2166338,906.7946539,204.6642815,794.3219525,356.0972365
23,7011.909139,1337.786415,6127.416929,1017.138093,5798.205245,336.9112187,4418.882538,450.4559025,2074.867784,129.6682644,1825.87668,162.2179049,1149.684403,260.8053692,1001.683486,579.464368
24,7399.238609,593.5192606,7297.027572,524.5955485,7064.379813,214.209873,5001.36281,345.8712387,2768.881606,298.1704068,2365.253777,360.4565852,1710.254008,560.2029776,1143.462141,701.4091343
25,7420.819255,717.8132413,7665.540442,319.950426,7729.119574,428.5484382,5820.724679,528.5994304,3162.785402,201.0510167,2548.326271,195.7542753,2276.633719,544.7324583,1294.088982,785.0834931
26,8027.339793,286.0967125,8118.77074,435.248173,8100.775569,1015.533899,5808.397246,580.2300229,3222.546447,426.8263827,2917.724187,165.0213792,2561.04819,581.1793324,1569.546731,699.7649481
27,8647.71963,783.651432,8635.477641,743.3087268,8102.746609,793.0845048,6007.743148,335.4882575,3179.755353,559.5700935,3087.645369,183.0621036,2762.803239,707.9505885,1593.963177,662.6399718
28,8859.060373,667.0247772,9103.335076,881.4842498,8194.619705,719.3751557,5820.944354,311.1566078,3149.487924,421.3918975,2976.041582,488.7174555,2792.415627,390.3875917,1697.299338,572.7107561
29,9228.630442,618.1497368,9865.856559,806.1969619,8417.891107,234.0259592,5521.717033,204.6185231,3222.242331,377.1920804,2992.6131,449.6267883,2953.6878,468.8106337,2446.524017,612.1801589
30,9205.22566,715.170501,10210.53485,393.4829168,8366.430699,304.1883592,5453.669704,260.3601711,3233.013002,341.9991236,3122.195818,430.5737299,2900.522432,522.2823889,2833.408841,777.3506623
31,9795.861543,790.0443071,10652.14111,133.0465443,8719.734618,348.9521187,5469.916351,138.3454189,3344.24919,239.120414,3371.193406,346.2171392,3172.910963,381.7580379,3217.925402,465.1408927
32,9605.536403,751.0101433,10564.97983,275.4546036,8500.492036,484.1686908,5366.811526,140.6033406,3200.355271,151.7620663,3212.857779,242.9677476,3027.899664,64.57798058,3282.031071,369.842799
33,9995.054255,794.2934519,10717.84645,340.1950584,8985.700208,401.92099,5533.061428,145.2435616,3489.118355,105.1410003,3380.938678,102.4882942,3427.977914,116.098069,3379.284731,331.0650654
34,10260.14284,820.0955718,10418.31404,375.1092753,9385.314428,331.0651963,5643.520622,138.9605071,3561.797081,143.0720862,3454.44693,69.36898435,3581.532039,177.2559895,3726.064395,267.1978728
35,10090.97155,845.3920927,10088.41472,547.3668866,9302.913087,354.7409515,5498.926696,104.4101332,3536.790757,164.1318846,3387.791352,40.22768264,3640.247486,146.3946139,3862.149025,291.8336955
36,10098.42848,712.7309192,10040.32715,642.0702343,9494.675883,276.9320225,5516.875528,115.8111232,3589.354932,217.7146642,3525.863596,28.12893389,3802.993432,126.5493831,4051.52212,411.3870831
37,9853.947362,566.9906863,9804.054257,667.3195656,9427.320836,283.3112273,5479.389421,156.701753,3448.514558,216.2938239,3393.657341,51.9791514,3705.422254,134.7660373,3994.768312,520.0888117
38,9417.588776,447.1315145,9467.705869,698.6975692,9160.917108,251.9511838,5338.105617,64.23608255,3398.859006,194.5730874,3321.558856,41.55404609,3649.814154,149.0473733,4014.395928,570.2775395
39,9134.156623,393.6171987,9303.817923,711.5673661,9085.710917,113.3411379,5225.361905,85.77666704,3283.459315,207.2369608,3305.098849,34.40670938,3596.720335,159.6781994,3930.527133,517.425668
40,9121.871241,469.123818,9189.905868,558.2982458,9046.751329,154.2306715,5243.005354,82.27192688,3230.2073,169.3758351,3262.723192,24.42450185,3544.30372,177.5576311,3929.744952,528.0825065
41,8904.206392,396.7150854,9011.406507,452.6093003,8918.6161,249.5262549,5073.782606,103.4063513,3177.382755,121.1478687,3139.607007,45.685617,3429.123118,152.2173715,3819.178898,471.3268853
42,9033.731476,389.7745892,9079.209341,402.669591,8929.909514,282.7133904,5047.952121,81.79945133,3240.226449,140.3891551,3197.90972,36.60012501,3413.697097,131.4898207,4003.970367,369.6219666
43,8908.092023,302.3880719,9089.198409,434.0286547,8970.104921,421.8721628,5053.350398,85.46901863,3217.984175,115.2710862,3177.178965,36.25551865,3331.51918,118.4933916,3894.798232,289.9692378
44,8799.226501,215.0685464,8890.726098,379.4590772,8967.635697,316.9407471,4965.313379,114.8182688,3146.038486,109.064988,3089.304413,45.51968693,3215.929765,127.2591736,3896.780584,249.0252786
45,9279.020046,353.6583902,9105.511436,512.4645611,9243.902594,375.0518292,5019.997585,99.55223622,3266.099739,149.5470352,3085.106401,33.87179699,3271.04282,101.49984,3852.08275,257.047639
46,9060.278566,260.8458504,9141.879594,302.6428335,9152.021469,315.1234975,5019.157018,138.6091429,3140.850796,133.4493251,3043.069765,50.12439912,3199.583166,108.3611419,3751.313999,227.1180592
