Cycle Nr.,CitperOD_0,STD_0,CitperOD_3.9,STD_3.9,CitperOD_7.8,STD_7.8,CitperOD_15.6,STD_15.6,CitperOD_31.3,STD_31.3,CitperOD_62.5,STD_62.5,CitperOD_125,STD_125,CitperOD_250,STD_250
16,1276.058108,117.5194494,2424.627108,302.8871551,2022.207256,1088.236286,2266.22292,905.4365783,1146.853153,647.7967658,1946.902661,1183.944954,787.6230629,292.0220888,567.2727303,60.09929224
17,1394.506499,163.8539377,2761.056463,306.2581292,2297.297279,1242.648033,2447.52983,978.1411888,1201.523541,736.3820382,2086.795929,1265.042468,844.3824111,330.6161986,595.1532348,193.000594
18,1633.619388,166.8991328,3191.050941,360.9948425,2367.491151,1296.588572,2492.172843,1111.816504,1224.213735,764.0252527,2246.18151,1450.748504,814.2493578,346.4451873,657.1935958,214.2583539
19,1994.970656,280.2660409,3748.606529,472.8463427,2853.236181,1535.478874,2923.854793,1364.99653,1255.060715,835.9978586,2534.924239,1607.517859,1043.388409,442.9525714,793.6507989,437.3867738
20,2395.287963,248.5358189,4172.323746,707.5410924,3217.416682,1799.269964,3319.124715,1695.004505,1320.878394,859.2278607,2350.243638,1554.311302,1170.179294,484.8625013,813.201754,519.694806
21,3284.589321,750.0189851,4615.007313,929.2771853,3597.940822,1883.245048,3374.200463,1381.061239,1422.776905,997.4040494,2487.657739,1639.09859,1380.407114,569.9561985,798.4163516,531.8080064
22,4770.398526,1133.048649,4991.907459,1025.168336,4242.816491,2267.371766,3771.339788,1593.645205,1763.663256,1175.317305,2640.972563,1560.331867,1434.854329,584.7358974,891.8654152,547.4462644
23,6956.737127,1323.8394,5331.443529,931.3860442,4509.756137,2212.178005,4016.074119,1694.752612,1931.306306,1398.979645,2853.640663,1431.824153,1820.834525,594.9027519,958.346395,627.8575532
24,6967.575094,1627.839286,5594.633259,960.2920295,4759.945149,2317.794464,4312.699112,1581.363989,2115.88885,1495.305358,2740.238545,1342.208005,1846.153826,519.8463137,1072.727279,643.5348107
25,7429.037012,890.2305781,6397.738046,1080.178156,5524.151096,2771.451107,4414.916409,1687.229913,2201.94648,1216.952369,2790.594489,1219.971884,1944.922547,642.4225268,1117.681835,609.7155097
26,8487.042963,1210.329389,7266.089321,1399.788258,6053.097406,2991.80652,4605.076075,2093.306337,2267.428571,834.5909113,2685.775027,1190.289247,2114.600828,567.8431965,1171.963686,635.0402227
27,10302.81587,839.6378094,7931.188788,1570.532696,6512.290572,2689.310329,4475.76748,2321.200701,2413.865566,856.9846364,2715.205164,1067.066244,2158.482076,587.5878347,1222.1917,710.6464872
28,10535.5422,973.9693711,9029.860618,1608.658606,7426.798066,2225.230768,4494.912881,2382.779775,2589.015092,911.7662234,2693.937681,941.7851179,1776.732741,356.9448278,1210.679343,585.3032798
29,11136.2541,1442.380588,10221.06319,1870.151956,8508.651428,2121.130781,4708.746164,2596.99189,2798.437766,540.6920069,2762.568396,650.1742581,2167.138849,292.239452,1233.815667,690.8122381
30,11836.98507,1911.292595,10904.42124,2289.308138,9520.4071,1689.56666,5415.085809,3082.213267,3262.989408,736.3113426,2866.260927,856.4106218,2069.156785,481.1035875,1179.210575,559.1482885
31,12846.54683,2408.800596,12611.76703,2164.849526,11869.50081,2314.248373,6044.468759,3270.410046,3872.832315,465.9824287,3029.831396,670.9585374,2204.994286,797.0132944,1181.176479,519.9511474
32,13450.22134,2360.136135,12652.30433,2430.654033,11715.20381,3001.813086,5830.154924,3134.463443,4049.086777,254.820867,3345.20843,655.1422899,2620.823414,1168.108539,1122.266839,385.9205662
33,14786.98227,1795.949931,13536.68591,1964.162967,12394.76032,3383.549947,6586.194848,3039.666413,4301.157434,302.269816,3627.821648,462.111737,3191.879419,948.2594299,1193.601316,230.992528
34,15264.31562,1398.837151,14213.76848,1337.88074,13104.97457,3335.18882,6881.780711,2779.410578,4503.988492,390.0511629,3548.968534,563.3397839,3184.574411,956.1162978,1301.6529,150.7499978
35,15151.23213,1017.770551,14192.67674,806.387474,12997.12316,2584.293218,6852.896038,2576.113426,4449.343418,232.8184967,3702.882503,371.7584663,3180.543608,943.7713614,1575.514292,273.6493574
36,15253.54734,783.6571754,14510.31592,679.9789641,13186.95844,2424.579898,7127.307969,2588.19532,4578.049562,281.8380073,4026.019972,328.4391969,3352.904093,795.6405969,1786.045039,122.5363073
37,15128.05069,909.4039188,14322.91689,550.0407842,13026.21393,1759.39856,7192.598542,2227.157657,4475.298145,266.0645078,3904.690622,137.6042297,3385.416766,678.489613,1978.193136,461.1889
38,14486.72729,753.0584603,14313.95075,488.4674482,12736.2463,1286.657789,7139.903454,1885.682781,4371.099388,239.1944252,3992.84583,215.4230587,3279.035507,652.0417519,2246.564631,582.9141535
39,13900.92151,542.4221497,14044.28808,539.5338004,12579.79272,1209.904384,6884.863049,1597.618169,4262.270445,317.2619722,3937.240015,317.0179107,3124.077478,637.0339541,2288.489883,742.0113324
40,13872.64216,357.6783685,13758.86142,450.9718751,12552.43184,1037.803054,6877.977689,1337.214569,4208.135192,252.5218654,3866.365373,313.1842646,3054.349612,623.5750286,2353.409967,841.584907
41,13661.11801,399.2990696,13094.9743,499.0981632,12289.8638,768.7283893,6636.094317,1099.300073,4111.568808,270.5874541,3685.460022,344.0134168,3179.968708,481.3607748,2435.133974,833.4654605
