,FITC-A,PE-Tx-Red-YG-A
224,48.719997406,172.88999939
225,38.6399993896,68.3399963379
226,50.3999977112,90.7799987793
227,798.83996582,691.559997559
228,147.839996338,102.0
229,464.519989014,113.220001221
230,224.279998779,85.1699981689
231,101.63999939,33.1499977112
232,270.479980469,1062.83996582
233,76.439994812,530.399963379
234,349.440002441,923.609985352
235,217.559997559,434.519989014
236,204.959991455,80.5800018311
237,141.119995117,40.7999992371
238,55.4399986267,47.9399986267
239,64.6800003052,29.5799999237
240,125.999992371,65.2799987793
241,376.319976807,393.209991455
242,86.5199966431,172.88999939
243,77.2799987793,67.8300018311
244,73.9199981689,160.649993896
245,357.0,398.309997559
246,110.879997253,91.7999954224
247,119.279998779,439.619995117
248,64.6800003052,216.75
249,64.6800003052,227.459991455
250,151.199996948,93.8399963379
251,180.599990845,257.040008545
252,189.839996338,328.949981689
253,67.1999969482,277.440002441
254,103.319999695,336.600006104
255,67.1999969482,470.729980469
256,79.7999954224,236.129989624
257,152.039993286,516.119995117
258,498.959991455,461.549987793
259,28.5599994659,24.4799995422
260,81.4799957275,138.720001221
261,231.0,1235.2199707
262,128.519989014,-3.56999993324
263,62.1599998474,-72.4199981689
264,96.5999984741,204.0
265,61.3199996948,131.580001831
266,318.359985352,707.880004883
267,37.7999992371,21.4200000763
268,151.199996948,208.589996338
269,93.2399978638,117.299995422
270,86.5199966431,254.489990234
271,1126.43994141,1700.84997559
272,168.839996338,184.11000061
273,292.319976807,902.700012207
274,42.0,143.309997559
275,74.7599945068,108.119995117
276,531.719970703,976.649963379
277,378.839996338,445.229980469
278,113.399993896,438.600006104
279,172.199996948,737.459960938
280,265.440002441,664.019958496
281,135.239990234,348.839996338
282,94.0799942017,17.8500003815
283,232.679992676,700.739990234
284,50.3999977112,110.159996033
285,171.36000061,1078.14001465
286,49.5599975586,498.779998779
287,59.6399993896,26.0100002289
288,80.6399993896,125.970001221
289,167.159988403,62.7299995422
290,96.5999984741,130.559997559
291,110.039993286,33.1499977112
292,42.8400001526,74.4599990845
293,69.7200012207,-7.13999986649
294,78.1199951172,-30.0900001526
295,60.4799995422,169.319992065
296,200.759994507,274.889984131
297,178.080001831,352.410003662
298,66.3600006104,146.880004883
299,94.9199981689,31.109998703
300,94.9199981689,38.25
301,163.799987793,135.660003662
302,64.6800003052,106.589996338
303,414.119995117,445.739990234
304,114.239997864,215.729995728
305,55.4399986267,145.349990845
306,70.5599975586,73.4400024414
307,201.599990845,1037.84997559
308,191.519989014,160.13999939
309,5.8799996376,133.11000061
310,157.919998169,488.579986572
311,116.759994507,72.4199981689
312,1459.91992188,1689.63000488
313,131.039993286,181.559997559
314,159.599990845,202.979995728
315,78.9599990845,71.4000015259
316,209.159988403,272.850006104
317,125.999992371,409.529998779
318,131.039993286,156.569992065
319,52.9199981689,57.6299972534
320,190.679992676,161.160003662
321,141.119995117,314.160003662
322,167.159988403,263.160003662
323,200.759994507,902.700012207
324,236.879989624,154.529998779
325,207.479995728,698.190002441
326,116.759994507,272.850006104
327,115.919998169,5.60999965668
328,78.9599990845,81.0899963379
329,52.0799980164,-18.8699989319
330,771.119995117,619.649963379
331,68.8799972534,420.239990234
332,55.4399986267,241.229995728
333,118.439994812,293.25
334,102.479995728,318.239990234
335,118.439994812,28.5599994659
336,131.039993286,164.220001221
337,52.9199981689,22.4399986267
338,115.079994202,55.0799980164
339,157.080001831,354.449981689
340,762.719970703,860.880004883
341,67.1999969482,78.0299987793
342,153.720001221,145.86000061
343,117.599998474,255.509994507
344,216.719985962,296.820007324
345,158.759994507,17.8500003815
346,216.719985962,235.11000061
347,42.0,362.609985352
348,141.959991455,158.099990845
349,112.559997559,251.940002441
350,283.079986572,180.539993286
351,5.8799996376,109.650001526
352,42.8400001526,147.899993896
353,115.919998169,91.7999954224
354,420.0,419.220001221
355,72.2399978638,-133.619995117
356,251.159988403,362.100006104
357,113.399993896,150.959991455
358,123.479995728,370.259979248
359,87.3600006104,-120.869995117
360,75.5999984741,469.199981689
361,143.63999939,31.6199989319
362,183.119995117,7.13999986649
363,257.880004883,125.459999084
364,57.9599990845,98.4300003052
365,32.7599983215,77.5199966431
366,133.559997559,36.7200012207
367,87.3600006104,95.8799972534
368,147.839996338,304.979980469
369,47.0399971008,108.119995117
370,135.239990234,126.479995728
371,256.199981689,180.539993286
372,23.5199985504,68.3399963379
373,164.63999939,308.040008545
374,127.679992676,43.8600006104
375,99.1199951172,151.979995728
376,109.199996948,644.640014648
377,97.439994812,57.1199989319
378,62.1599998474,8.67000007629
379,215.879989624,249.899993896
380,99.1199951172,38.25
381,209.159988403,385.049987793
